smiles,TPSA,ROTB,AROM
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,82.28,3,2
CCN1C(=O)NC(c2ccccc2)C1=O,49.410000000000004,2,1
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,20.23,1,0
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,32.34,7,1
CC(O)(P(=O)(O)O)P(=O)(O)O,135.29000000000002,2,0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,36.92,7,0
O=S(=O)(Cl)c1ccccc1,34.14,1,1
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,66.76,4,2
OC[C@H](O)[C@@H](O)[C@H](O)CO,101.15,4,0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],80.25999999999999,12,0
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,321.0900000000001,11,3
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,104.55000000000001,2,1
CC(C)COC(=O)C(C)C,26.3,3,0
C=C(C)C(=O)OCCOC(=O)C(=C)C,52.6,5,0
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,9.72,2,0
O=C([O-])Cc1cccc2ccccc12,40.129999999999995,2,2
CCCCCCCCCCOCC(O)CN,55.480000000000004,12,0
CCN(CC)C(=O)c1cccnc1,33.2,3,1
COc1cc(O)cc(O)c1,49.69,1,1
CCOC(=O)c1cccnc1,39.19,2,1
CCOc1ccc(S(=O)(=O)O)c2cccnc12,76.49000000000001,3,2
O=C(O)[C@H](O)c1ccccc1,57.53,2,1
Nc1ccc(/N=N/c2ccccc2)cc1,50.739999999999995,2,2
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,12.03,2,2
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,29.54,2,1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,6.48,4,2
C#CCO,20.23,0,0
Nc1ccccc1S(=O)(=O)O,80.39,1,1
CC(O)CC(C)(C)O,40.46,2,0
CC(C)(C)CC(C)(C)N,26.02,1,0
CC(=O)CC(C)C,17.07,2,0
CCCC(C)=O,17.07,2,0
Nc1nc2ccccc2[nH]1,54.699999999999996,0,2
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,20.23,0,1
c1ccc(-c2ccccc2)cc1,0.0,1,2
CNC(=O)Nc1ccc(Cl)c(Cl)c1,41.13,1,1
CC(=O)Nc1ccc(C)c(Cl)c1,29.1,1,1
CCCCNC(=S)NCCCC,24.06,6,0
CCCCNC(=O)NCCCC,41.13,6,0
CC(C)N(c1ccccc1)C(C)C,3.24,3,1
CCc1cccc(C)c1,0.0,1,1
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,27.69,20,1
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,66.76,18,0
CCCCCCCCCCC=CC1CC(=O)OC1=O,43.370000000000005,10,0
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,71.35,8,3
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],115.61000000000001,5,2
CCOP(=S)(CC)Sc1ccccc1,9.23,5,1
CC/C=C\CCCCO,20.23,5,0
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,52.32000000000001,2,3
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,45.59,4,2
CC(=O)CCC(C)=O,34.14,3,0
N#CCCNCCC#N,59.61,4,0
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,182.29999999999998,12,4
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,161.43,3,3
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,213.17,8,5
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,6.48,2,2
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,56.84,9,1
Cc1ccccc1CCO,20.23,2,1
Cc1nc(C)c(C)nc1C,25.78,0,1
CC1=CC(O)CC(C)(C)C1,20.23,0,0
Cc1cnc(C)c(C)n1,25.78,0,1
CC(C)COC(=O)c1ccccc1,26.3,3,1
C=C(C)[C@@H]1CC=C(C)CC1,0.0,1,0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],132.4,0,0
Nc1ccc(N)c([N+](=O)[O-])c1,95.18,1,1
CC1COc2ccccc2N1,21.259999999999998,0,1
O=C(O)c1cc(Cl)cc(Cl)c1O,57.53,1,1
CCCCCCCCCCCC(=O)NCCCN(C)C,32.34,14,0
CC(C)CCCCCOC(=O)CCS,26.3,8,0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,120.9,2,1
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,78.9,13,0
C=CCOc1c(Br)cc(Br)cc1Br,9.23,3,1
F[B-](F)(F)F.[H+],0.0,0,0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,20.23,1,0
C(=C/c1ccccc1)\c1ccccc1,0.0,2,2
Cc1ccc2c(ccc3ccccc32)c1,0.0,0,3
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,80.28,2,2
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,104.55000000000001,1,1
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,43.7,0,2
COC(=O)C1=CCCN(C)C1,29.54,1,0
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,43.370000000000005,2,2
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],80.44,2,1
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],80.44,2,1
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,26.3,6,0
CCCCCC(C)O,20.23,4,0
O=C([O-])c1ccccc1O,60.36,1,1
NC(=O)c1ccccc1,43.09,1,1
CCN1CCc2nc(N)oc2CC1,55.290000000000006,1,1
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,23.47,0,2
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,153.88,5,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,104.55000000000001,3,1
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,29.950000000000003,6,2
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,84.57999999999998,8,1
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,35.580000000000005,7,2
Nc1ccc([N+](=O)[O-])cc1N,95.17999999999999,1,1
[I-].[K+],0.0,0,0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,164.75,4,1
Oc1nc(Cl)c(Cl)cc1Cl,33.120000000000005,0,1
C/C=C/C=C/C=O,17.07,2,0
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,86.28,2,1
C[Si](C)(C)N[Si](C)(C)C,12.03,2,0
C=CC(=O)OCCCl,26.3,3,0
COCC(C)N(C(=O)CCl)c1c(C)csc1C,29.54,5,1
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,172.45999999999998,10,2
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],106.50999999999999,4,2
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,58.400000000000006,5,3
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,38.769999999999996,10,2
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,106.32999999999998,3,1
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,118.79999999999998,7,1
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,59.22,8,2
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,46.94,1,1
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,93.06,2,0
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,47.03,5,1
O=C(O)/C=C(\CC(=O)O)C(=O)O,111.89999999999999,4,0
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,52.6,40,0
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,118.22000000000001,5,0
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,72.47,2,1
CNCC(=O)c1ccc(O)c(O)c1,69.56,3,1
CC(C)(C)C1CCC(=O)CC1,17.07,0,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,170.86999999999998,4,1
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,15.6,1,2
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,49.74,5,3
CCCCC(=O)[O-],40.129999999999995,3,0
CCCCCCCCCCCCCC(=O)OC,26.3,12,0
Nc1ccncc1N,64.92999999999999,0,1
CCCCCCC(C)O,20.23,5,0
CCC[Si](OC)(OC)OC,27.69,5,0
CC1=C(CC=O)C(C)(C)CCC1,17.07,2,0
NCCNCCNCCN,76.1,7,0
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,76.78,0,0
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,49.17,5,2
Cc1ccc(N)c(N)c1,52.04,0,1
CCCCCNCCCCC,12.03,8,0
COCC(C)O,29.46,2,0
c1ccc2c(c1)Oc1ccccc1S2,9.23,0,2
CC1CN1,21.94,0,0
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,91.65,4,1
NCC(=O)CCC(=O)O,80.39,4,0
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,27.05,6,3
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,44.24,4,3
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,75.74000000000001,10,4
ClCOCCl,9.23,2,0
CC(O)CNCC(C)O,52.489999999999995,4,0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,100.82000000000001,4,0
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,61.09,1,0
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,100.67,2,1
CCOC(=O)C1OC1c1ccccc1,38.83,3,1
ONc1ccccc1,32.26,1,1
O=CC(=O)c1ccccc1,34.14,2,1
[Cu]I,0.0,0,0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],66.43,11,0
ClCc1ccc(Cl)cc1Cl,0.0,1,1
O=C(O)CCCCCCCCC(=O)O,74.6,9,0
CCCCCCCC(=O)OC,26.3,6,0
CC(O)COCC(C)O,49.69,4,0
Cc1ccc(C(=O)C(=O)[O-])cc1C,57.2,2,1
O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,67.18,5,3
Cc1ncc[nH]1,28.68,0,1
COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,100.33,5,3
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,73.16000000000001,2,2
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,133.23999999999998,9,2
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,113.96000000000001,6,2
Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,91.16000000000001,3,2
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,59.3,4,2
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,92.78000000000002,7,2
CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,79.51,2,2
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],147.02,4,0
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,12.47,0,2
CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,184.18999999999997,9,0
CO[Si](C)(C)OC,18.46,2,0
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,20.23,2,2
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,41.57000000000001,3,2
CC(=O)c1ccccc1O,37.3,1,1
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,37.3,2,1
O=C(O)c1cccc(Cl)n1,50.19,1,1
CCCCCCCCCC=O,17.07,8,0
Cc1ccc(C(C)(C)C)cc1,0.0,0,1
BrCBr,0.0,0,0
Nc1cc(Cl)cc(Cl)c1,26.02,0,1
CCCCCCCCCC(=O)O,37.3,8,0
CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,63.370000000000005,1,1
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],321.4,0,0
CCCCCCCCCOS(=O)(=O)[O-],66.43,9,0
O=Cc1ccc(C(=O)O)cc1,54.370000000000005,2,1
CCC(Cl)CCl,0.0,2,0
CC(C)(O)c1ccccc1,20.23,1,1
O=C1CCCN1,29.1,0,0
ClCc1ccccc1Cl,0.0,1,1
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,86.28,2,1
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,72.3,2,0
C=CC(=O)OCCOC(=O)C=C,52.6,5,0
CCCC[P+](CCCC)(CCCC)CCCC,0.0,12,0
N#CCc1cccc(C(F)(F)F)c1,23.79,1,1
COc1cccc(Br)c1,9.23,1,1
CCCCCCCCNC,12.03,7,0
CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,36.92,6,2
CC1=C(C(=O)Nc2ccccc2)SCCO1,38.33,2,1
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,42.010000000000005,9,1
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,67.67,1,1
